Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (2019),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage
38,21100870853,npj Microgravity,journal,23738065,0994,Q1,15,30,86,1375,303,77,369,4583,United Kingdom,Western Europe,Nature Publishing Group,2015-2020
39,20337,Parasite,journal,1252607X 17761042,0930,Q1,42,75,183,2612,425,183,223,3483,France,Western Europe,EDP Sciences,1994-2020
40,24135,Bulletin of the American Museum of Natural History,book series,30090,0922,Q1,53,11,28,1859,59,23,292,16900,United States,Northern America,American Museum of Natural History Library,1996-2020
41,15900154753,Communicative and Integrative Biology,journal,19420889,0914,Q1,34,23,113,1193,226,101,193,5187,United States,Northern America,Landes Bioscience,2009-2020
42,23100,Proceedings of the Japan Academy Series B: Physical and Biological Sciences,journal,13492896 03862208,0890,Q1,50,38,120,2707,305,112,319,7124,Japan,Asiatic Region,Japan Academy,1977-2020
43,13048,Polar Biology,journal,07224060 14322056,0861,Q1,74,206,642,11434,1220,622,173,5550,Germany,Western Europe,Springer Verlag,1982-2020
44,15654,Journal of Agricultural Biological and Environmental Statistics,journal,10857117 15372693,0843,Q1,49,36,102,1470,146,100,161,4083,United States,Northern America,Springer New York,1996-2020
45,13260,Biological Research,journal,07176287 07169760,0841,Q1,49,61,146,319,442,143,305,523,Chile,Latin America,BioMed Central Ltd.,1992-2020
46,14005,Paleobiology,journal,00948373 19385331,0839,Q1,90,37,112,2996,221,111,199,8097,United Kingdom,Western Europe,Cambridge University Press,1975-2020
47,29610,Journal of Mathematical Biology,journal,03036812 14321416,0837,Q1,89,150,382,6309,811,378,202,4206,Germany,Western Europe,Springer Verlag,1974-2020
48,6400153111,Journal of Ethnobiology and Ethnomedicine,journal,17464269,0775,Q1,61,71,206,4743,563,202,241,6680,United Kingdom,Western Europe,BioMed Central Ltd.,2005-2020
49,21100817122,Agricultural and Food Economics,journal,21937532,0764,Q1,14,24,70,1167,154,67,180,4863,United Kingdom,Western Europe,Springer Open,2013-2020
50,19700201635,China Agricultural Economic Review,journal,1756137X 17561388,0732,Q1,19,56,124,2379,229,122,179,4248,United Kingdom,Western Europe,Emarald Group Publishing Ltd,2008-2020
51,16298,Journal of Irrigation and Drainage Engineering - ASCE,journal,07339437 19434774,0706,Q1,68,74,437,1958,540,340,147,2646,United States,Northern America,American Society of Civil Engineers (ASCE),1982-2020
52,14864,Cryobiology,journal,00112240 10902392,0696,Q1,81,129,344,5275,809,336,226,4089,United States,Northern America,Academic Press Inc.,1964-2020
53,53554,Australian Journal of Agricultural and Resource Economics,journal,1364985X 14678489,0689,Q1,46,49,129,2687,174,108,163,5484,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1996-2020
54,21100316609,Life Sciences in Space Research,journal,22145532 22145524,0685,Q1,17,49,112,2434,305,104,261,4967,Netherlands,Western Europe,Elsevier BV,2014-2020
55,14901,Journal of Thermal Biology,journal,18790992 03064565,0680,Q1,63,233,522,12555,1289,518,254,5388,United Kingdom,Western Europe,Elsevier Ltd.,1975-2020
56,11900154330,Journal of Biological Research,journal,1790045X 22415793,0664,Q1,17,14,51,791,121,49,252,5650,Greece,Western Europe,BioMed Central Ltd.,2008-2020
57,21100202708,Culture Agriculture Food and Environment,journal,21539553 1556486X,0655,Q1,12,20,51,759,52,44,73,3795,United States,Northern America,John Wiley and Sons Inc.,2011-2019
58,13255,Biological Bulletin,journal,19398697 00063185,0652,Q1,74,46,129,3109,176,115,141,6759,United States,Northern America,University of Chicago Press,1945-1951 1965-1979 1981-1987 1989-2020
59,13845,Bulletin of Mathematical Biology,journal,00928240 15229602,0652,Q1,84,194,345,8214,642,333,185,4234,United States,Northern America,Springer New York,1973-2020
60,16919,BioMetals,journal,15728773 09660844,0650,Q1,98,71,259,4413,712,253,256,6215,Netherlands,Western Europe,Springer Netherlands,1992-2020
61,19400158383,Saudi Journal of Biological Sciences,journal,1319562X,0649,Q1,42,321,664,12865,2239,659,312,4008,Saudi Arabia,Middle East,King Saud University,2009-2020
62,13699,Biology and Philosophy,journal,15728404 01693867,0645,Q1,47,62,153,3441,248,147,127,5550,Netherlands,Western Europe,Springer Netherlands,1986-2020
63,12428,Comptes Rendus - Biologies,journal,17683238 16310691,0615,Q1,79,34,185,1650,358,181,190,4853,France,Western Europe,Academie des sciences,1959 2002-2019
64,14301,Symbiosis,journal,03345114 18787665,0600,Q1,44,79,196,5307,366,192,175,6718,Netherlands,Western Europe,Springer Netherlands,1973 1985 1987 1990-1991 1993-2020
